generation,id,fitness,species,parent1,parent2
0,2,9.205596,1,-1,-1
1,8,8.280649,1,2,3
2,9,10.605935,1,5,5
3,13,10.569022,1,9,9
4,18,10.570001,1,14,13
5,21,8.223114,1,19,19
6,26,10.604641,1,23,21
7,30,10.585485,1,26,26
8,33,10.597548,1,30,31
9,37,10.604342,1,33,33
10,44,10.587648,1,37,38
11,45,10.633623,1,44,42
12,50,9.455251,1,48,45
13,53,10.565314,1,51,51
14,60,10.552493,1,53,55
15,62,10.552072,1,59,60
16,65,10.529169,1,62,64
17,70,8.32838,1,67,65
18,73,7.273722,1,69,69
19,78,10.533011,1,73,73
20,82,10.530042,1,78,78
21,85,10.558309,1,81,81
22,92,7.017569,1,85,85
23,93,10.54426,1,91,91
24,97,10.559621,1,93,95
25,101,10.52867,1,99,97
26,108,8.397099,1,103,103
27,111,10.52571,1,108,106
28,116,10.565222,1,111,111
29,119,10.55668,1,116,114
30,123,10.571121,1,119,118
31,127,10.567136,1,123,123
32,129,10.536194,1,128,127
33,135,8.189576,1,129,129
34,137,10.570094,1,133,135
35,142,10.569942,1,137,137
36,145,10.554352,1,142,142
37,150,8.019135,1,147,145
38,153,7.025103,1,150,151
39,157,7.504529,1,156,156
40,163,10.561315,1,158,158
41,168,10.557326,1,162,162
42,171,10.568549,1,168,165
43,176,10.572687,1,169,169
44,177,10.575557,1,176,173
45,181,10.576025,1,178,178
46,187,10.5774,1,181,182
47,190,10.578651,1,186,186
48,194,10.571386,1,192,192
49,198,8.587588,1,194,193
