generation,id,fitness,species,parent1,parent2
0,1,0.812812,1,-1,-1
0,2,9.205596,1,-1,-1
0,3,7.888676,1,-1,-1
0,4,5.328978,1,-1,-1
1,5,8.12563,1,3,2
1,6,7.415188,1,3,2
1,7,0.136559,1,2,2
1,8,8.280649,1,2,3
2,9,10.605935,1,5,5
2,10,2.666037,1,5,5
2,11,0.32607,1,5,8
2,12,8.096909,1,5,8
3,13,10.569022,1,9,9
3,14,10.556395,1,12,12
3,15,1.178194,1,9,12
3,16,4.767295,1,9,12
4,17,3.239199,1,14,13
4,18,10.570001,1,14,13
4,19,10.567778,1,14,13
4,20,6.092126,1,14,14
5,21,8.223114,1,19,19
5,22,2.744194,1,19,18
5,23,8.199988,1,18,19
5,24,2.239254,1,18,19
6,25,8.199303,1,21,21
6,26,10.604641,1,23,21
6,27,0.695519,1,21,23
6,28,9.538953,1,23,21
7,29,7.601811,1,26,26
7,30,10.585485,1,26,26
7,31,10.576099,1,26,26
7,32,10.565885,1,28,28
8,33,10.597548,1,30,31
8,34,5.450676,1,30,30
8,35,6.581898,1,31,31
8,36,8.26833,1,30,31
9,37,10.604342,1,33,33
9,38,9.209262,1,33,33
9,39,8.263768,1,36,33
9,40,8.451613,1,33,33
10,41,5.517881,1,38,38
10,42,8.163104,1,37,37
10,43,5.075731,1,37,37
10,44,10.587648,1,37,38
11,45,10.633623,1,44,42
11,46,7.0209,1,42,44
11,47,5.107929,1,42,42
11,48,8.944336,1,42,42
12,49,1.165379,1,48,45
12,50,9.455251,1,48,45
12,51,8.095372,1,48,45
12,52,3.28771,1,48,48
13,53,10.565314,1,51,51
13,54,5.080115,1,51,51
13,55,10.559602,1,50,50
13,56,6.777171,1,51,51
14,57,6.363354,1,55,55
14,58,7.744255,1,55,53
14,59,9.439986,1,53,55
14,60,10.552493,1,53,55
15,61,8.614089,1,60,59
15,62,10.552072,1,59,60
15,63,9.382895,1,60,59
15,64,10.500509,1,60,59
16,65,10.529169,1,62,64
16,66,8.601736,1,62,64
16,67,9.088458,1,62,64
16,68,5.645989,1,62,64
17,69,6.752233,1,65,67
17,70,8.32838,1,67,65
17,71,1.440489,1,67,65
17,72,4.815313,1,65,67
18,73,7.273722,1,69,69
18,74,0.0,1,70,70
18,75,6.425786,1,70,70
18,76,5.664162,1,70,69
19,77,2.711678,1,73,75
19,78,10.533011,1,73,73
19,79,6.907398,1,75,73
19,80,4.781981,1,75,75
20,81,8.451599,1,79,78
20,82,10.530042,1,78,78
20,83,3.997664,1,78,78
20,84,0.0,1,79,78
21,85,10.558309,1,81,81
21,86,6.263782,1,82,82
21,87,10.53543,1,82,82
21,88,0.0,1,82,82
22,89,4.689206,1,87,85
22,90,5.23308,1,85,85
22,91,5.984436,1,87,85
22,92,7.017569,1,85,85
23,93,10.54426,1,91,91
23,94,0.0,1,91,92
23,95,10.530227,1,92,91
23,96,7.816698,1,91,91
24,97,10.559621,1,93,95
24,98,7.053981,1,95,93
24,99,10.55183,1,95,95
24,100,8.845701,1,95,93
25,101,10.52867,1,99,97
25,102,8.812024,1,99,97
25,103,10.528233,1,99,97
25,104,9.48732,1,99,99
26,105,0.052966,1,103,101
