generation,id,novelty,score,species,parent1,parent2
0,109,1.0358537708830993,0.006541,3,-1,-1
1,349,0.916354953094891,1.37355,3,88,41
2,544,0.7539854110607294,0.357999,3,349,349
3,544,0.6030112332456781,0.357999,3,349,349
4,644,0.5282778333154982,0.634239,6,499,475
5,847,0.5265776221811707,0.336147,6,694,507
6,847,0.5063708558435522,0.336147,6,694,507
7,1369,0.5046673655363791,0.412723,8,1117,1118
8,1554,0.5603509435012881,1.020082,3,1406,1407
9,1524,0.5450651271882774,0.58504,9,1332,1332
10,1976,0.5493861713110871,0.671367,9,1524,1524
11,1921,0.5883363174481762,1.453401,7,1733,1747
12,1921,0.5361415530054563,1.453401,7,1733,1747
13,2300,0.533150530162307,0.778932,3,1955,1961
14,2302,0.5300671601813024,0.874254,9,2152,1976
15,2833,0.6217654853161385,1.049383,6,2626,2632
16,2833,0.6090732729209696,1.049383,6,2626,2632
17,2833,0.5907469350172243,1.049383,6,2626,2632
18,3344,0.48709431971463857,1.150375,7,3176,3176
19,3507,0.5650849732148502,0.683857,12,3291,3291
20,3659,0.5805721029051512,1.199769,7,3566,3566
21,3507,0.5607118548329745,0.683857,12,3291,3291
22,3507,0.5965100779006074,0.683857,12,3291,3291
23,4267,0.5445292723403921,0.654779,12,3507,3892
24,4434,0.523451118340272,0.056484,8,4158,4158
25,4403,0.5405018112846817,0.849906,9,4211,4211
26,4816,0.5496010987047324,0.662106,9,4619,4403
27,4899,0.5943324255469955,1.264402,7,4766,4776
28,4899,0.5979254438351265,1.264402,7,4766,4776
29,4899,0.5647643918861772,1.264402,7,4766,4776
30,5516,0.5641687026613467,1.420638,7,4899,5168
31,5673,0.5495130298445985,1.347563,6,5496,5318
32,5853,0.4974663707076583,1.707007,7,5525,5706
33,6059,0.5289156821648187,1.311557,7,5852,5856
34,6055,0.5272019206021016,1.37997,7,5853,5852
35,6415,0.60817250645531,0.962316,7,6059,6242
36,6535,0.5827538115237002,1.123755,6,6375,6384
37,6535,0.5670574238732453,1.123755,6,6375,6384
38,6560,0.5918825120397126,1.769047,9,6400,6208
39,6560,0.5989998572908924,1.769047,9,6400,6208
40,6560,0.6098838757124196,1.769047,9,6400,6208
41,7272,0.5692057418582933,0.79308,6,6535,7113
42,7266,0.5703842955778757,1.958791,7,6754,6754
43,7792,0.544994788469866,0.892187,6,7645,7272
