generation,id,novelty,score,species,parent1,parent2
0,187,0.7078671917014747,1.546537,4,-1,-1
1,383,0.6669163351000561,1.616349,4,198,190
2,394,0.28508477398497595,1.507418,2,300,300
3,623,0.36807596292326167,1.533065,4,505,490
4,880,0.38413531864133765,1.53426,10,734,713
5,1020,0.4390998902774454,1.539388,10,865,884
6,1201,0.32597536946355704,1.551512,9,1045,1048
7,1344,0.37372909768832824,1.608056,2,1171,1193
8,1385,0.4416408176206887,1.564242,10,865,1283
9,1761,0.38017995391918863,1.613973,10,1601,1601
10,2017,0.5361310130430834,1.665027,6,1799,1799
11,2017,0.5953202539013734,1.665027,6,1799,1799
12,2017,0.4354508532815524,1.665027,6,1799,1799
13,2416,0.4035907026617062,1.670019,10,2303,2293
14,2416,0.3721192551809245,1.670019,10,2303,2293
15,2819,0.38753279725123024,1.594309,10,2641,2648
16,3042,0.4724741631875937,1.58191,1,2915,2914
17,3263,0.43072694993262345,1.550691,9,3112,3112
18,3384,0.4345347691299656,1.57511,10,2998,2998
19,3594,0.41205423138141967,1.573112,9,3438,3438
20,3771,0.3629808315128894,1.566675,10,3628,3629
21,3941,0.44089280993272684,1.582264,10,3755,3755
22,4137,0.4484448361625238,1.533249,10,3922,3922
23,4327,0.3546273729038076,1.557802,1,4156,3050
24,4508,0.4294762090064196,1.514893,10,2998,4338
25,4706,0.4934001483415317,1.586305,10,2998,2998
26,4887,0.4661627410228911,1.675805,9,4546,4546
27,4865,0.3842426185053919,1.551717,1,4670,3050
28,5227,0.4526000825049032,1.546464,1,3050,5102
29,5416,0.3023683363186687,1.522422,1,5236,3050
30,5610,0.30192539691022097,1.542837,1,5409,3050
31,5762,0.40734914431975877,1.541279,9,5565,5564
32,5989,0.37442286396521846,1.556799,1,3050,5797
33,6130,0.4361008435697208,1.556559,1,3050,3050
34,6130,0.43695025303202417,1.556559,1,3050,3050
35,6503,0.46871808814283145,1.553121,10,6339,6351
36,6719,0.4998864764452234,1.551009,9,6540,6553
37,6875,0.48070929040454374,1.596321,9,6735,6719
38,7070,0.5623059799956285,1.709616,9,6869,6872
39,7070,0.5478468990625273,1.709616,9,6869,6872
40,7070,0.49335134417486814,1.709616,9,6869,6872
41,7578,0.41652704849401917,1.719871,5,7367,7367
42,7803,0.4321596284726678,1.603804,9,7620,7620
43,8003,0.5498028931450243,2.741084,1,7741,7608
44,8116,0.4710720398556596,1.659301,3,7952,7952
45,8273,0.26538825860681176,1.668268,3,8116,7952
46,8427,0.43653688952731967,1.580183,3,8274,8284
47,8624,0.49171855239928364,1.582846,3,8284,8284
48,8808,0.5176293247605818,1.620468,9,8675,8684
49,9075,0.4477022493897303,1.715138,5,8880,8315
50,9256,0.48338465024436994,1.67023,10,8654,9039
51,9417,0.5172863451395808,2.565234,10,9240,9240
52,9558,0.3909121945829853,1.68539,10,9249,9249
53,9746,0.5558982105468091,2.711063,10,9249,9560
54,9936,0.4269473414900303,1.665536,10,9745,9249
55,10109,0.5309963726186439,1.603388,10,9937,9937
56,10308,0.33620418660042983,1.604302,5,9944,9944
57,10479,0.5101327008385965,1.711326,10,10281,10281
58,10570,0.4149472238744539,1.508548,7,10423,10423
59,10906,0.4284197827235046,1.548137,1,10727,10727
60,10946,0.4047760623900709,1.782969,2,10793,10792
61,11026,0.47129091135252427,1.643475,10,10632,10632
62,11418,0.4402486666217019,1.565987,5,11230,11230
63,11622,0.5018455520385933,1.54001,9,9764,11430
64,11762,0.4348723282054744,1.521734,5,11587,11587
65,11830,0.4535231067913012,1.665596,2,11697,11697
66,11830,0.36281204075133594,1.665596,2,11697,11697
67,12087,0.4049102558321798,1.534801,2,11830,11824
68,12519,0.5393075513189324,1.559715,9,9764,12346
69,12713,0.49684949242852317,1.574601,9,12523,12523
70,12881,0.46257774415215414,1.580595,5,12675,12675
71,13034,0.5046690445777031,1.606744,10,11181,12636
72,13185,0.31934724044011287,1.586048,3,13007,13007
73,13295,0.4717166827129949,1.546885,7,12063,13171
74,13611,0.455899378686022,1.543026,9,9764,13457
75,13806,0.32150217690829164,1.545469,9,9764,13620
76,13421,0.5054224060044309,1.534249,5,13222,12294
77,14166,0.475033003266166,1.626634,9,9764,9764
78,14290,0.49240100384940555,1.503975,3,14074,14074
79,14472,0.5103822076080053,1.534111,10,13742,13742
80,14631,0.46962835988287616,1.590968,10,13742,14472
81,14832,0.5252144482164838,1.666132,3,14662,14662
82,15077,0.42846474035793053,1.643199,9,14877,14877
83,15255,0.48140586694419596,1.580881,9,15078,9764
84,15431,0.608539781339337,1.683105,9,15078,15078
85,15431,0.5942562942574479,1.683105,9,15078,15078
86,15431,0.5389218743518616,1.683105,9,15078,15078
87,15975,0.41052431622603774,1.673017,9,15431,15431
88,16166,0.4427996189165852,1.537188,9,9764,15974
89,16300,0.5594845414620956,1.637452,10,14639,14639
