generation,id,novelty,score,species,parent1,parent2
0,90,2.130120008933493,0.7236478567485556,1,-1,-1
1,926,1.4409061520166877,0.7539757101357576,2,169,287
2,1408,0.6082194252411023,0.7553256240688092,6,556,90
3,1963,0.2065819135645731,0.7607620576924529,1,1314,1314
4,2147,0.23698802577689423,0.7622876264196607,2,1918,1535
5,2726,0.33239259027138296,0.7624686415947073,1,2292,2324
6,3316,0.2869609725919348,0.7601305530975526,3,2734,2730
7,3604,0.37038332268731383,0.7617459424029308,4,3220,2470
8,4155,0.3571840052157923,0.7598296212346053,3,3705,3790
9,4463,0.3269466859246335,0.7620162310521139,2,4014,4020
10,5151,0.32935218453794207,0.7593749955810376,3,4135,4135
11,5857,0.2567845013084103,0.7617723738755985,5,3615,5290
12,6137,0.22173692437695333,0.7610872789914402,3,5577,5603
13,6562,0.355273862561973,0.7588034309528497,4,6073,5719
14,7029,0.268418704906727,0.7612757371126991,2,6029,6029
15,7632,0.22596662050415217,0.7618442358450295,3,7134,7108
16,7947,0.3717119441758934,0.7585755565443186,4,7411,5719
17,8606,0.2722913297572572,0.7571428573276752,5,8194,8175
18,9209,0.1823943164673272,0.7598371742090949,1,8735,4781
19,9291,0.19981217181813035,0.7627417641922967,3,8873,8879
20,10047,0.34893906491332355,0.7577893053787573,5,9572,9553
21,10630,0.3959325678269175,0.7604070011051399,5,10072,10072
22,11131,0.20178166932983452,0.7602123810229477,1,10672,10651
23,11283,0.3417909555806838,0.7601529658047438,3,10866,10820
24,12104,0.25383325197806383,0.7606789217341715,3,11259,11287
25,12262,0.4018310645756319,0.7575061634929602,6,11799,11727
26,13064,0.3320762414295655,0.7593504753455683,3,12450,12450
27,13303,0.3457521685398786,0.7598809797691306,5,13144,13152
28,13872,0.275283514990262,0.7594934214075464,2,13631,13596
29,14433,0.343112414704351,0.7586811227561004,4,13756,13766
30,14933,0.4941359971514776,0.7582279398511277,6,14173,14204
31,15206,0.3126329765804224,0.7606471526281462,3,14714,14671
32,15769,0.34222933919347165,0.7584991998483344,3,15149,14671
33,16578,0.208828893535742,0.7594611582082024,5,16059,15741
34,16890,0.2676708961021634,0.7605137981495871,3,16264,15757
35,17432,0.2928822066641341,0.7608174621976065,4,16825,16360
36,17970,0.31563698520313904,0.7627704586410147,5,13661,17502
37,18132,0.26397815577621997,0.7616545886079873,7,17622,17622
38,18734,0.6488815157717797,0.7542453277043519,3,17664,18271
39,19275,0.21544533499971966,0.7616822332306535,5,18608,18647
40,19781,0.16427601543812845,0.7618493292961855,3,19336,19280
41,20378,0.30118944604483583,0.7620634850355655,5,16538,19946
42,20891,0.33103851839671267,0.75903444475211,3,20243,20243
43,21030,0.18092350395410767,0.7620500249443801,7,20598,20556
44,21793,0.4628367489237394,0.7540889038934757,6,21258,21292
45,22398,0.25880507024437926,0.7617621176679253,2,21848,21484
46,22798,0.21220047202132652,0.7621136811020248,5,21793,22289
47,23233,0.30961585449971574,0.7628278656111771,8,22689,22892
48,23654,0.33657445384109314,0.7616841780045123,8,23226,23245
49,24156,0.14760338690782818,0.7609713357797192,8,23647,17324
50,24542,0.19123844754645697,0.7610008781064315,1,24090,23498
51,24957,0.2452521101052595,0.760736892481949,3,24440,21689
52,25430,0.3383100778317026,0.759692753062409,4,24937,24907
53,26021,0.17841238007691632,0.7610780946761859,6,25592,25610
54,26420,0.16973387995857914,0.7617105407153212,4,25960,25969
55,26788,0.40132482159835015,0.7589168268259249,7,26295,26321
56,27448,0.1809910317981107,0.761019182025552,6,27007,27024
57,28102,0.22159612126906525,0.7616073798911269,1,27621,27658
58,28574,0.21519208619454297,0.7614619501751833,8,28063,28053
59,28804,0.5496955581423253,0.7618721935431438,2,28241,27424
60,29219,0.2137537527099674,0.7613827772129953,2,28731,28731
61,29944,0.28161715428539136,0.7593292929594554,8,29637,29522
62,30226,0.26067317693435477,0.7598992428631235,3,29224,29718
63,31015,0.15905649903873345,0.7618726620018796,8,30399,17324
64,31185,0.31787741036444483,0.7579647427444854,3,29224,30245
65,31639,0.1894196283617221,0.7607964896554618,3,31149,31174
66,32188,0.28627267196833495,0.7616216859278245,3,31641,31645
67,32588,0.49278306514515385,0.7613787326585089,7,32148,32148
68,33108,0.13385727665313016,0.7614340205090235,7,32594,32596
69,33717,0.2747952715300067,0.7611482583514799,6,33264,32274
70,34032,0.2688704494025665,0.7610350328098885,7,33599,33599
71,34984,0.40654774056304815,0.7618215792962879,2,34469,34456
72,35033,0.20127077531152943,0.7603125814757371,7,34540,34531
73,35947,0.3979810608252232,0.7584480017164241,2,35453,35453
74,35982,0.15692883892207624,0.7610714773096255,7,35508,35508
75,36685,0.20679255468747054,0.7566520828345379,6,36261,35726
76,37031,0.10375752869235144,0.7618323958506822,7,36568,35993
77,37468,0.5367682840362046,0.7535562150281617,7,36549,37029
78,38189,0.12856645029798489,0.7626854637841224,8,37716,37692
79,38444,0.3624222118080431,0.760864972468635,7,37999,37999
80,38923,0.2757055915175506,0.7618904623648128,7,38415,38411
81,39357,0.4147993387832765,0.7576722168490122,3,38869,38913
82,40111,0.2044657096562154,0.7611284947765832,1,39713,25076
83,40640,0.36488952134293867,0.7619795465908897,8,38998,40184
84,40928,0.23328237367890678,0.7607674778070783,6,37123,40535
85,41657,0.26993147245966786,0.7608534695774172,8,41168,41151
86,42019,0.5756768477542862,0.7602826179070733,8,41652,41651
87,42518,0.43450879593862896,0.7609807097081804,8,42019,42080
88,43030,0.2229299166744445,0.7617597769972505,8,42531,17324
89,43290,0.364427108533733,0.7612404348617127,7,42806,42840
90,43771,0.6182601093693219,0.7627665156135687,5,43413,43280
91,44247,0.16706742042678138,0.7622389737980585,6,43876,42881
92,44842,0.33723552269248513,0.7627293187086653,6,44232,44259
93,45195,0.3523287391112353,0.7607160786188916,7,44791,42806
94,45700,0.3120250359867016,0.7604587197923958,7,45213,45218
95,46138,0.23517752972206488,0.7614276645213693,7,45701,45716
96,46755,0.5018239184645458,0.7615006120206768,3,46318,46287
97,47289,0.22443515837034544,0.7623930055014935,3,46801,46755
98,47637,0.4367123531061152,0.7596445518455337,7,47157,47106
99,48365,0.26751657665118045,0.7626104061212584,8,47784,17324
100,48901,0.21343411684215677,0.7546474670435717,1,48407,25076
101,49253,0.29443245743190216,0.7626251278207627,6,48612,48203
102,49758,0.1511257924249748,0.7608063452664215,8,49280,49328
103,50059,0.37452572102226583,0.7605177326778982,7,49670,49662
104,50703,0.31193884019115536,0.7605235602664627,8,50206,50211
105,51198,0.2692745541934958,0.7607352452306075,8,17324,50689
106,51771,0.45599382178345693,0.7580806628091542,8,51226,50769
107,52182,0.25119611390206886,0.7608713938542371,8,51771,51807
108,52706,0.2640543211336147,0.7625624175697627,2,52181,52163
109,53105,0.31100916094776343,0.7605700140283157,8,52679,52651
110,53698,0.20192733385716208,0.7614324699961986,8,53044,52200
111,54236,0.3606790557457791,0.7585579670302002,6,53578,53605
112,54613,0.4132043419195061,0.7586873478901038,8,54132,53648
113,55005,0.3321641165173604,0.7598744268078256,8,54608,54613
