generation,id,block density,rigid density,fitness,parent
0,0,25,9,8.599633,[-1]
1,4,25,0,10.570148,"(25, 16)"
2,10,21,10,8.480016,"(25, 16)"
3,12,16,1,10.581053,"(16, 0)"
4,18,22,2,10.582852,"(16, 1)"
5,21,25,1,10.571257,"(25, 9)"
6,27,23,1,10.586028,"(16, 0)"
7,28,13,0,10.544309,"(20, 2)"
8,33,25,4,6.801287,"(21, 10)"
9,39,25,0,10.574376,"(25, 6)"
10,41,10,0,10.498306,"(13, 0)"
11,47,25,1,7.799467,"(25, 0)"
12,48,25,1,8.781052,"(23, 1)"
13,52,25,5,10.573982,"(25, 23)"
14,59,25,8,4.571643,"(25, 0)"
15,63,13,1,6.563772,"(7, 1)"
16,66,25,9,7.830512,"(25, 3)"
17,71,25,0,10.565101,"(25, 15)"
18,74,10,4,8.536904,"(7, 1)"
19,76,9,0,10.551967,"(10, 0)"
20,80,20,0,7.273065,"(16, 1)"
21,87,25,0,7.528784,"(20, 7)"
22,91,15,0,10.573,"(9, 0)"
23,95,20,4,5.440873,"(20, 4)"
24,98,25,0,6.18246,"(25, 0)"
25,102,7,0,10.510039,"(10, 0)"
26,106,25,0,10.574721,"(25, 15)"
27,109,4,0,7.448138,"(10, 0)"
28,114,15,5,3.636719,"(7, 1)"
29,118,23,0,10.555786,"(4, 0)"
30,123,25,7,7.017122,"(23, 1)"
31,126,25,7,10.564695,"(25, 9)"
32,130,25,2,10.574575,"(25, 12)"
33,132,25,9,6.190111,"(25, 10)"
34,138,25,0,10.574931,"(25, 1)"
35,141,20,0,10.57573,"(15, 1)"
36,144,13,0,7.484741,"(12, 0)"
37,151,18,1,10.619542,"(7, 1)"
38,155,15,0,10.566683,"(20, 1)"
39,159,25,5,10.569971,"(25, 7)"
40,163,19,0,10.571879,"(13, 0)"
41,164,22,10,10.556903,"(25, 19)"
42,168,25,4,10.574645,"(25, 9)"
43,173,25,0,10.576908,"(25, 5)"
44,178,5,0,7.641461,"(15, 0)"
45,182,6,0,7.092786,"(11, 0)"
46,187,25,0,10.580037,"(25, 5)"
47,190,14,0,10.568189,"(20, 0)"
48,194,25,0,10.576262,"(25, 0)"
49,198,25,11,9.473222,"(25, 17)"
50,201,15,0,10.56825,"(15, 1)"
51,207,19,14,3.652068,"(24, 18)"
52,209,15,0,3.891578,"(15, 1)"
53,213,5,1,7.05252,"(9, 0)"
54,216,22,13,6.246901,"(25, 23)"
55,221,16,0,6.378551,"(24, 18)"
56,226,10,0,4.795816,"(11, 0)"
57,228,10,0,10.570557,"(14, 0)"
58,235,14,1,10.564873,"(20, 10)"
59,238,15,0,10.573621,"(14, 0)"
60,242,13,0,10.571862,"(15, 6)"
61,245,25,0,10.576455,"(25, 9)"
62,248,18,0,10.503538,"(23, 0)"
63,254,8,0,10.548115,"(10, 0)"
64,258,18,0,5.34476,"(3, 0)"
65,262,10,4,8.377395,"(5, 1)"
66,264,20,0,10.61039,"(18, 8)"
67,270,25,0,10.57613,"(25, 4)"
68,274,17,0,10.5535,"(21, 2)"
69,278,25,15,4.113359,"(25, 21)"
70,283,12,0,10.580572,"(17, 0)"
71,286,25,0,10.573146,"(25, 5)"
72,289,16,0,10.623933,"(15, 14)"
73,292,18,0,10.578485,"(10, 4)"
74,296,20,0,4.519033,"(16, 2)"
75,303,25,0,10.576584,"(20, 10)"
76,304,10,0,4.407335,"(21, 2)"
77,309,20,9,6.083687,"(15, 6)"
78,312,19,4,5.788161,"(21, 20)"
79,317,24,1,7.270913,"(19, 3)"
80,323,19,0,10.566935,"(19, 0)"
81,327,25,3,10.566839,"(24, 13)"
82,330,25,9,10.562363,"(22, 13)"
83,334,17,0,10.593623,"(20, 1)"
84,337,25,3,10.572852,"(25, 11)"
85,342,20,0,7.298702,"(22, 2)"
86,346,9,8,0.841766,"(5, 2)"
87,349,16,5,10.576076,"(25, 16)"
88,355,25,5,9.33924,"(25, 16)"
89,359,25,1,10.571652,"(24, 13)"
90,362,12,0,10.602447,"(20, 0)"
91,366,25,2,10.573836,"(25, 13)"
92,368,25,9,10.552562,"(25, 1)"
93,373,9,0,10.556987,"(10, 5)"
94,379,25,0,10.571942,"(22, 13)"
95,381,25,0,5.688284,"(16, 2)"
96,386,25,0,10.573954,"(25, 16)"
97,389,6,0,7.860415,"(3, 0)"
98,392,25,0,10.556958,"(12, 0)"
99,399,25,0,10.577949,"(25, 15)"
