generation,id,block density,actuator density,fitness,parent
0,0,25,0,6.507316,[-1]
0,1,21,1,6.591818,[-1]
0,2,13,8,0.46995,[-1]
0,3,25,22,3.54414,[-1]
1,4,25,23,1.325638,"(25, 22)"
1,5,25,25,1.514619,"(25, 22)"
1,6,25,19,1.723268,"(25, 22)"
1,7,25,21,5.694572,"(25, 22)"
2,8,25,14,10.571356,"(25, 0)"
2,9,25,25,0.683992,"(25, 21)"
2,10,25,25,0.041429,"(25, 23)"
2,11,13,0,8.619951,"(21, 1)"
3,12,25,21,3.464351,"(25, 22)"
3,13,21,19,1.305955,"(25, 14)"
3,14,25,7,5.385033,"(25, 19)"
3,15,25,23,6.633216,"(25, 21)"
4,16,25,15,10.565686,"(25, 14)"
4,17,22,22,4.280688,"(21, 19)"
4,18,25,0,4.079309,"(25, 0)"
4,19,25,10,5.290374,"(13, 0)"
5,20,25,20,10.576386,"(25, 14)"
5,21,25,21,6.738001,"(25, 23)"
5,22,25,11,0.025043,"(21, 19)"
5,23,25,10,10.567166,"(25, 7)"
6,24,10,5,1.615065,"(13, 0)"
6,25,25,19,0.545102,"(25, 19)"
6,26,25,10,1.805065,"(21, 1)"
6,27,20,20,10.561581,"(22, 22)"
7,28,24,0,4.52591,"(21, 1)"
7,29,25,13,2.702843,"(21, 19)"
7,30,25,0,5.352416,"(21, 1)"
7,31,25,10,10.569194,"(25, 10)"
8,32,25,25,10.574158,"(25, 15)"
8,33,11,11,10.551084,"(21, 1)"
8,34,20,20,2.187626,"(21, 19)"
8,35,25,18,3.110966,"(25, 21)"
9,36,25,20,10.570078,"(25, 22)"
9,37,25,15,3.569419,"(25, 18)"
9,38,20,18,0.457384,"(22, 22)"
9,39,12,12,3.574443,"(11, 11)"
10,40,25,3,0.512257,"(25, 11)"
10,41,25,20,3.738251,"(25, 23)"
10,42,25,20,10.572584,"(22, 22)"
10,43,25,2,7.119867,"(21, 1)"
11,44,25,21,0.022043,"(25, 19)"
11,45,12,0,3.725825,"(24, 0)"
11,46,25,23,7.63147,"(11, 11)"
11,47,25,2,7.803127,"(25, 13)"
12,48,20,20,10.57147,"(20, 20)"
12,49,25,15,10.570294,"(25, 18)"
12,50,20,20,8.645542,"(22, 22)"
12,51,25,14,7.625013,"(25, 19)"
