generation,id,parent,success_keys
0,0,-1,[0]
0,1,-1,[0]
0,3,-1,[1]
0,4,-1,[1]
0,5,-1,[2]
0,6,-1,[2]
0,7,-1,[3]
0,8,-1,[3]
0,9,-1,[4]
0,10,-1,[4]
0,11,-1,[5]
0,12,-1,[5]
0,13,-1,[6]
0,14,-1,[6]
0,15,-1,[7]
0,16,-1,[7]
0,17,-1,[8]
0,18,-1,[8]
0,19,-1,[9]
0,20,-1,[9]
0,45,19,[3]
0,48,17,[8]
0,51,5,[1]
0,53,5,[4]
1,66,10,[3]
1,72,5,[6]
1,74,53,[4]
1,78,53,[14]
1,93,1,[14]
2,107,10,[14]
2,109,5,[6]
2,116,74,[16]
2,128,4,[12]
3,141,51,[12]
3,150,10,[1]
3,151,19,[0]
4,194,116,[12]
4,199,141,[49]
4,204,66,[16]
5,221,53,[16]
5,227,4,[42]
5,229,10,[52]
5,234,107,[38]
5,237,5,[49]
5,244,19,[42]
5,251,4,[37]
5,260,78,[26]
6,263,93,[65]
6,266,204,[65]
6,271,3,[20]
6,273,10,[0]
6,274,234,[52]
6,275,260,[20]
6,281,128,[37]
6,288,6,[8]
6,289,5,[35]
6,292,251,[49]
6,298,234,[26]
7,302,10,[52]
7,310,128,[65]
7,312,244,[71]
7,325,141,[35]
7,331,229,[73]
7,332,244,[38]
7,333,227,[43]
8,342,66,"[82, 83]"
8,348,74,[82]
8,357,0,[73]
8,361,266,[82]
8,362,271,[83]
8,369,4,[42]
8,371,266,[83]
8,377,273,[71]
9,387,107,[61]
9,395,107,[73]
9,397,109,[88]
9,398,288,[15]
9,403,310,[94]
9,413,3,[43]
9,420,227,[90]
10,423,362,[94]
10,424,204,[40]
10,425,273,[71]
10,426,74,[44]
10,435,4,[102]
10,440,229,[86]
10,442,273,[88]
10,446,128,[43]
10,450,420,[94]
10,452,395,[40]
10,456,66,[96]
11,464,403,[102]
11,465,440,[63]
11,470,377,[44]
11,472,292,[87]
11,478,442,[100]
11,480,387,[63]
11,481,93,[100]
11,483,395,[88]
11,485,244,[104]
11,488,1,[61]
