step,score,transferred_from
0,13.178547,418
1,18.799435,
2,10.962498,
3,11.358026,
4,11.475424,
5,16.971514,
6,11.857184,
7,11.102531,
8,19.865292,
9,10.774823,
10,12.056091,
11,15.183034,
12,20.023821,
13,10.143461,
14,16.022628,
15,11.544665,
16,14.870576,
17,20.193812,
18,19.429569,
19,19.999364,
20,11.876,
21,11.911569,
22,10.839383,
23,18.800368,
24,9.561541,
25,17.387131,
26,19.259111,
27,10.268789,
28,14.141107,
29,9.586495,
30,9.638583,
31,9.341669,384
32,9.933507,
33,12.960959,
34,10.56918,
35,7.98947,
36,11.103252,
37,9.156893,
38,9.817987,
39,10.494262,
40,8.794,
41,8.803917,
42,10.696717,
43,9.516949,
44,8.13864,
45,8.492083,
46,15.401899,384
47,15.245335,
48,11.475003,
49,10.832744,
50,11.564188,
51,10.294293,
52,14.23733,
53,11.120698,
54,16.110991,
55,10.882291,
56,11.037241,
57,11.163377,
58,12.032204,
59,10.643056,
60,10.177236,
61,11.482242,423
62,10.003164,
63,11.168935,
64,10.061996,
65,18.732762,
66,15.394513,
67,9.158834,
68,13.207757,
69,22.180323,
70,11.737684,
71,11.58862,
72,18.433315,
73,16.208935,
74,14.22268,
75,10.922812,
76,13.925983,
77,17.9919,
78,18.879797,
79,11.985231,
80,11.479739,
81,19.353509,
82,20.916414,
83,9.983427,
84,12.224803,
85,11.166828,
86,20.889065,
87,16.896723,
88,12.367424,
89,10.814122,
90,14.922217,
91,21.940656,
92,11.371761,
93,10.753053,
94,15.78774,
95,9.701831,
96,10.127283,
97,11.186176,
98,19.204679,
99,9.656382,
100,21.186245,
101,20.150911,
102,19.642344,
103,10.283889,
104,10.805841,
105,12.58085,
106,20.586937,
107,11.15979,
108,16.713708,
109,21.380593,
110,10.190347,
111,14.637258,
112,10.532987,
113,10.687995,
114,11.136697,
115,8.974494,
116,11.302729,
117,19.795562,
118,9.296264,
119,9.044762,
120,10.962778,
121,9.282671,423
122,19.626093,
123,17.178667,
124,19.980653,
125,9.594303,
126,10.337629,
127,15.578748,
128,20.113489,
129,19.629333,
130,8.989692,
131,19.285283,
132,19.837977,
133,19.591962,
134,10.371558,
135,9.776497,
136,9.578545,509
137,15.890067,
138,20.13177,
139,19.771079,
140,8.971813,
141,20.119116,
142,13.968159,
143,19.643737,
144,19.093386,
145,15.874697,
146,20.33915,
147,10.897171,
148,9.691184,
149,20.077479,
150,10.154967,
151,20.574673,
152,10.266248,
153,9.87261,
154,16.489811,
155,19.848795,
156,19.825785,
157,15.462464,
158,10.097119,
159,19.599814,
160,12.843953,
161,20.349591,
162,19.481798,
163,19.80649,
164,10.895653,
165,19.960667,
166,20.780638,
167,10.37077,
168,10.17892,
169,11.234138,
170,18.680451,
171,16.210725,
172,9.82794,
173,9.446006,
174,20.460173,
175,13.290179,
176,20.748459,
177,19.448318,
178,17.689207,
179,11.136534,
180,20.065686,
181,10.129482,
182,18.763751,
183,20.486834,
184,18.679861,
185,17.559975,
186,19.924541,
187,19.894867,
188,20.126586,
189,11.422656,
190,17.071492,
191,20.646458,
192,19.83076,
193,9.067797,
194,19.580592,
195,9.828944,
196,8.929658,
197,15.207078,
198,9.648081,
199,14.26243,
200,9.123534,
201,8.793612,
202,8.905249,
203,9.248509,
204,17.4963,
205,10.217114,
206,20.58114,
207,12.04407,
208,14.97084,
209,10.521526,
210,8.954866,
211,19.159739,
212,19.82255,
213,19.157139,
214,20.058938,
215,10.289037,
216,9.704556,
217,16.911483,
218,19.863253,
219,11.832481,
220,9.620071,
221,20.142955,
222,9.142915,
223,20.171689,
224,10.080727,
225,19.133671,
226,20.143815,
227,9.669108,
228,9.941897,
229,18.6105,
230,11.120298,
231,9.725667,
232,8.484024,
233,9.447131,
234,18.426224,
235,9.541859,
236,18.683777,
237,18.70911,
238,17.309482,
239,19.8603,
240,8.892348,
241,18.745157,
242,17.817378,
243,9.798321,
244,19.171116,
245,10.055988,
246,10.48026,
247,14.750871,
248,18.274238,
249,18.841348,
250,8.45191,
251,9.063934,
252,17.731742,
253,17.89751,
254,18.365999,
255,17.865988,
256,8.461548,455
257,13.784288,
258,10.83456,
259,10.561752,
260,19.911316,
261,14.189783,
262,20.130005,
263,9.043134,
264,9.871574,
265,19.66934,
266,10.689284,
267,11.137056,
268,19.831872,
269,19.505666,
270,19.050203,
271,17.732731,
272,17.783909,
273,9.786884,
274,9.770137,
275,10.222796,
276,9.942381,
277,10.959674,
278,9.559518,
279,9.531676,
280,9.420136,
281,9.945582,
282,19.963682,
283,17.381774,
284,10.811364,
285,17.714168,
286,19.918793,
287,9.549163,
288,10.111058,
289,9.345303,
290,9.535258,
291,19.675176,
292,18.971412,
293,20.163238,
294,17.60671,
295,20.544158,
296,18.549833,
297,10.081588,
298,20.82239,
299,9.258261,
300,16.880521,
