step,reward,transferred_from
0,5.682253,396
1,-1.435214,
2,4.230034,
3,-1.596219,
4,5.173989,
5,-1.492212,
6,7.579394,
7,5.991027,
8,-1.603047,
9,-1.746756,
10,6.204619,
11,-1.578634,
12,9.76164,
13,-1.514972,
14,10.16448,
15,-1.512137,
16,-1.578965,
17,-1.504315,
18,-1.659745,
19,-1.646363,
20,-1.570287,
21,5.660864,
22,-1.626976,
23,-1.502134,
24,6.682618,
25,6.043265,
26,9.581515,
27,11.248056,
28,9.907359,
29,10.028758,
30,5.587026,
31,-1.575391,
32,9.82067,
33,6.405955,
34,6.55943,
35,7.791221,
36,-1.526479,
37,3.831372,
38,7.321011,
39,9.501868,
40,6.644346,
41,-1.514378,
42,6.211407,
43,7.968612,
44,-1.591008,
45,-1.50385,
46,6.497574,432
47,9.893716,
48,9.62695,
49,5.259819,
50,4.262107,
51,5.31981,
52,-1.506258,
53,4.732434,
54,5.517975,
55,9.764373,
56,9.951941,
57,9.504158,
58,9.822226,
59,9.85161,
60,6.204163,
61,4.19394,
62,7.913994,
63,7.314908,
64,4.929877,
65,5.018178,
66,11.09305,
67,5.243276,
68,9.431903,
69,5.332655,
70,5.817425,
71,5.328273,
72,5.374027,
73,4.151922,
74,6.397392,
75,7.271531,
76,5.67739,411
77,6.254566,
78,-1.626068,
79,-1.662895,
80,4.962755,
81,1.464542,
82,6.33786,
83,-1.601307,
84,-1.643595,
85,6.915784,
86,-1.575438,
87,1.326854,
88,-1.542727,
89,-1.575793,
90,-1.638306,
91,10.034879,432
92,9.908857,
93,-1.559629,
94,9.881895,
95,3.493313,
96,5.882102,
97,7.34638,
98,5.350029,
99,5.232742,
100,6.346463,
101,6.424967,
102,5.349678,
103,10.192058,
104,4.733359,
105,5.991182,
106,9.850831,
107,6.112071,
108,4.09914,
109,5.784457,
110,3.104908,
111,4.869392,
112,5.222829,
113,6.153715,
114,9.7657,
115,3.759954,
116,4.656681,
117,5.11393,
118,4.919626,
119,6.366471,
120,4.900585,
121,9.337238,498
122,5.480139,
123,5.839687,
124,10.077335,
125,5.609363,
126,6.221007,
127,5.135446,
128,5.216662,
129,9.605965,
130,5.296609,
131,5.195464,
132,5.573567,
133,9.331464,
134,5.065573,
135,5.038715,
136,3.870733,498
137,5.087411,
138,5.076176,
139,7.19983,
140,5.124416,
141,9.811882,
142,9.919425,
143,9.515198,
144,9.85975,
145,10.205992,
146,5.679624,
147,6.038731,
148,7.267218,
149,9.876877,
150,6.876772,
151,5.088374,498
152,9.429594,
153,4.071478,
154,9.910107,
155,5.525527,
156,9.922913,
157,5.307956,
158,5.36913,
159,10.946767,
160,5.377494,
161,5.658595,
162,9.861775,
163,9.774138,
164,9.914541,
165,4.995828,
166,6.132516,
167,9.836368,
168,9.458191,
169,5.864844,
170,5.632527,
171,8.939162,
172,6.459506,
173,5.05827,
174,6.548104,
175,-1.576983,
176,5.624057,
177,5.129206,
178,4.821192,
179,5.853356,
180,2.980655,
181,9.728846,485
182,5.157357,
183,-1.47497,
184,5.318872,
185,7.645661,
186,5.810238,
187,4.624366,
188,2.576362,
189,-1.44827,
190,3.917554,
191,6.222619,
192,5.657158,
193,9.733585,
194,6.109084,
195,5.208019,
196,6.65398,502
197,5.103297,
198,-1.734778,
199,6.897136,
200,4.830275,
201,6.454296,
202,-1.675317,
203,9.684688,
204,4.852977,
205,-1.517359,
206,-1.524097,
207,-1.489244,
208,-1.612935,
209,5.935604,
210,-1.533174,
211,-1.555565,446
212,5.075502,
213,5.768642,
214,-1.508415,
215,-1.498268,
216,-1.55365,
217,-1.599014,
218,-1.460123,
219,3.237307,
220,-1.513368,
221,-1.493648,
222,-1.718636,
223,-1.555519,
224,4.041965,
225,-1.640953,
226,-1.771027,522
227,5.573362,
228,5.26856,
229,5.287065,
230,5.062608,
231,8.437413,
232,5.162044,
233,5.077172,
234,5.501574,
235,5.696798,
236,5.805756,
237,5.758847,
238,6.512708,
239,9.912735,
240,9.892164,
241,9.849144,518
242,9.794374,
243,9.850189,
244,6.350898,
245,11.325873,
246,5.402616,
247,9.907741,
248,6.002606,
249,9.605505,
250,9.861623,
251,0.232228,
252,7.127989,
253,10.089949,
254,9.862164,
255,5.808383,
256,9.721408,
257,1.517248,
258,9.90827,
259,5.8034,
260,-1.604937,
261,8.531328,
262,-1.697892,
263,6.788211,
264,5.169435,
265,5.869324,
266,-1.745441,
267,4.705149,
268,9.274222,
269,5.908731,
270,5.654715,
271,6.060986,
272,5.529157,
273,5.940795,
274,7.327316,
275,5.638634,
276,9.873172,
277,5.503043,
278,6.440939,
279,3.591257,
280,9.995192,
281,5.356215,
282,5.444886,
283,5.337198,
284,10.208194,
285,10.02158,
286,4.981544,
287,7.109872,
288,5.825618,
289,5.89806,
290,9.530597,
291,-1.589827,
292,5.844422,
293,5.126176,
294,8.79443,
295,6.227394,
296,4.718054,
297,6.35198,
298,5.778529,
299,9.940634,
300,9.865242,
