iteration,key,parent
0,0,
60,10,0
90,20,10
120,27,0
150,36,27
180,48,0
210,51,36
240,63,36
270,73,48
300,86,73
330,95,27
360,108,48
390,114,51
420,125,108
450,132,36
480,149,48
510,153,149
570,179,63
600,190,179
630,191,132
660,210,190
690,215,153
720,225,215
750,234,190
780,250,179
810,259,215
840,261,190
870,272,259
900,289,225
930,291,259
960,308,272
990,315,272
1020,328,261
1050,333,234
1080,344,328
1110,351,261
1140,370,351
1170,371,308
1200,389,370
1230,396,328
1260,404,351
1290,411,351
1320,429,371
1350,432,429
1380,446,432
1410,454,370
1440,467,404
1470,473,429
1500,485,454
1530,498,467
1560,502,432
1590,518,446
1620,522,446
1650,531,454
1680,549,467
1710,551,549
1740,567,522
1770,577,551
1800,584,551
1830,592,518
1860,606,567
1890,611,584
1920,628,592
1950,637,531
1980,643,567
2010,658,628
2040,670,628
2070,680,670
2100,686,584
2130,693,592
2160,703,670
2190,715,628
2220,723,703
2250,740,637
2280,743,740
2310,756,693
2340,764,693
2370,775,703
2400,785,715
2430,795,715
2460,808,785
2490,819,723
2520,828,740
2550,839,795
2580,843,785
2610,859,775
2640,866,764
2670,877,819
2700,883,843
2730,892,795
2760,904,892
2790,918,839
2820,923,828
2850,939,892
2880,942,883
2910,956,904
2940,968,942
2970,975,892
