generation,id,parent,success_keys
0,0,-1,"[0, 1]"
0,1,-1,"[3, 4]"
0,2,-1,"[5, 6]"
0,3,-1,"[7, 8]"
0,4,-1,"[9, 10]"
0,5,-1,"[11, 12]"
0,6,-1,"[13, 14]"
0,7,-1,"[15, 16]"
0,8,-1,"[17, 18]"
0,9,-1,"[19, 20]"
0,12,6,[13]
0,14,4,[9]
0,15,8,[17]
0,16,4,[9]
0,17,5,[11]
1,20,14,[9]
1,26,4,[9]
2,32,20,[9]
2,35,12,[5]
2,37,6,[51]
2,38,1,[0]
3,40,14,[9]
3,42,1,[3]
3,43,1,[3]
3,44,4,[9]
3,45,37,[51]
3,48,38,[93]
3,49,35,[5]
4,52,0,[66]
4,53,2,[5]
4,57,35,[5]
4,59,48,[93]
5,61,48,[107]
5,63,38,[0]
5,65,3,[1]
5,66,26,[9]
5,68,4,[9]
6,71,0,[234]
6,73,4,[5]
6,75,59,[93]
7,82,65,[1]
7,83,65,[1]
7,86,42,[93]
7,87,42,[3]
7,88,66,[74]
7,89,37,[4]
8,90,88,[288]
8,92,44,[9]
8,93,14,[332]
8,94,45,[4]
8,96,42,[116]
8,97,9,[1]
9,100,82,[1]
9,101,96,[371]
9,102,49,[5]
9,103,43,[0]
9,104,90,[1]
9,107,65,[107]
9,109,75,[1]
10,110,59,[93]
10,112,63,[288]
10,114,100,[107]
10,119,92,[107]
11,120,65,[1]
11,124,63,[0]
11,125,65,[19]
11,126,44,[9]
11,128,87,[234]
11,129,86,[452]
12,130,101,[371]
12,132,124,[6]
12,133,61,[107]
12,134,101,[204]
12,135,126,[9]
12,136,92,[9]
12,137,109,[1]
13,140,82,[204]
13,141,129,[452]
13,142,124,[0]
13,144,130,[199]
13,145,90,[9]
13,146,124,[4]
13,147,120,[538]
13,148,82,[1]
13,149,103,[66]
14,150,93,[10]
14,151,132,[6]
14,153,125,[19]
14,154,114,[107]
14,155,96,[78]
14,156,120,[5]
14,158,149,[6]
14,159,107,[107]
15,160,140,[266]
15,161,126,[9]
15,162,150,[333]
15,164,137,[1]
15,166,120,[3]
15,167,150,[424]
15,168,124,[93]
15,169,101,[1]
16,171,119,[107]
16,172,125,[4]
16,173,166,[19]
16,177,168,[10]
16,178,136,[420]
17,182,169,[1]
17,183,129,[452]
17,184,153,[19]
17,186,178,[420]
17,187,147,[538]
17,188,177,[4]
18,191,177,[10]
18,192,177,[281]
18,193,184,[19]
18,194,161,[9]
18,195,172,[53]
18,196,159,[107]
18,198,178,[9]
19,202,146,[538]
19,203,159,[151]
19,204,162,[227]
19,205,160,[266]
19,208,192,[72]
19,209,159,[107]
20,212,168,[227]
20,215,203,[151]
20,216,155,[273]
20,217,183,[452]
21,220,202,[538]
21,221,195,[362]
21,222,172,[649]
21,223,184,[251]
21,224,168,[670]
21,225,155,[369]
21,226,208,[289]
21,227,195,[237]
21,228,195,[649]
21,229,198,[273]
22,232,172,[792]
22,233,228,[825]
22,237,194,[325]
22,238,178,[638]
22,239,192,[442]
23,241,221,[644]
23,244,188,[698]
23,245,227,[361]
23,246,212,[649]
23,247,196,[369]
23,248,228,[649]
23,249,222,[369]
24,250,245,[528]
24,251,227,[519]
24,253,222,[649]
24,254,205,[546]
24,255,245,[519]
24,257,222,[644]
24,259,222,[452]
25,260,238,[638]
25,261,203,[649]
25,263,225,[782]
25,264,203,[649]
25,265,209,[674]
25,266,224,[670]
25,267,198,[485]
25,269,253,[649]
26,270,237,[470]
26,274,222,[649]
26,275,225,[501]
26,276,255,[442]
26,277,224,[670]
26,279,255,[554]
27,282,259,[480]
27,284,253,[456]
27,285,267,[480]
27,286,265,[674]
27,287,245,[519]
27,288,224,[607]
28,290,247,[649]
28,291,288,[519]
28,292,277,[633]
28,294,244,[698]
28,295,284,[516]
28,296,276,[539]
28,297,284,[485]
28,299,267,[485]
29,300,245,[546]
29,303,246,[649]
29,304,299,[559]
29,305,270,[589]
29,306,255,[555]
29,307,286,[674]
30,310,263,[782]
30,312,307,[587]
30,314,296,[1066]
30,315,296,[1138]
30,316,297,[561]
30,317,265,[644]
30,319,294,[1185]
31,320,286,[1172]
31,322,263,[879]
31,324,265,[674]
31,326,275,[612]
31,327,319,[1185]
31,328,300,[594]
31,329,303,[649]
32,330,329,[668]
32,331,317,[628]
32,333,312,[674]
32,334,270,[638]
32,335,286,[674]
32,336,282,[649]
32,338,282,[632]
32,339,275,[879]
33,341,294,[698]
33,342,291,[798]
33,343,338,[934]
33,344,305,[759]
33,345,334,[729]
33,346,307,[674]
33,347,307,[1330]
34,350,334,[758]
34,352,342,[782]
34,353,319,[1185]
34,354,306,[748]
34,355,317,[867]
34,356,320,[1142]
34,357,326,[879]
34,358,331,[775]
34,359,299,[759]
35,361,310,[825]
35,362,350,[886]
35,363,354,[774]
35,364,314,[1066]
35,366,328,[779]
35,369,331,[775]
36,370,358,[865]
36,371,369,[865]
36,373,361,[825]
36,375,329,[850]
36,376,322,[879]
36,378,316,[863]
37,380,359,[865]
37,383,362,[886]
37,384,328,[865]
37,385,363,[909]
37,386,356,[1142]
37,387,330,[988]
37,388,371,[865]
37,389,369,[890]
38,390,343,[1109]
38,392,359,[929]
38,393,355,[1301]
38,394,389,[890]
38,396,386,[886]
38,398,342,[886]
39,400,355,[1301]
39,401,376,[1345]
39,404,384,[935]
39,405,380,[961]
39,406,398,[935]
39,407,366,[966]
40,410,390,[1109]
40,411,396,[1035]
40,413,384,[1217]
40,414,371,[1123]
40,415,362,[1141]
40,416,384,[1305]
40,419,359,[1010]
41,420,385,[1142]
41,422,388,[1123]
41,423,398,[1255]
41,424,387,[1587]
41,425,386,[1387]
41,426,387,[1587]
41,427,375,[1163]
41,428,404,[1155]
42,432,371,[1162]
42,433,407,[1265]
42,435,387,[1188]
42,437,414,[1162]
42,438,423,[1255]
42,439,390,[1357]
43,440,404,[1241]
43,441,386,[1451]
43,442,383,[1486]
43,444,427,[1330]
43,445,414,[1233]
43,446,425,[1387]
43,447,398,[1255]
43,448,425,[1387]
43,449,385,[1380]
44,450,410,[1305]
44,454,428,[1544]
44,455,448,[1387]
44,456,416,[1305]
44,457,416,[1450]
44,459,438,[1685]
45,460,415,[1346]
45,462,414,[1399]
45,463,446,[1387]
45,464,432,[1324]
45,466,447,[1319]
46,470,438,[1451]
46,471,445,[1399]
46,473,440,[1455]
46,475,440,[1371]
46,477,445,[1428]
46,478,466,[1364]
47,480,460,[1502]
47,483,441,[1717]
47,485,442,[1486]
47,486,437,[1387]
47,487,459,[1544]
47,489,435,[1387]
48,490,464,[1399]
48,491,432,[1453]
48,492,473,[1455]
48,495,489,[1587]
48,496,457,[1445]
48,497,489,[1506]
48,499,477,[1428]
49,500,495,[1587]
49,501,441,[1883]
49,502,439,[1463]
49,505,439,[1453]
49,506,449,[1497]
49,508,480,[1502]
49,509,478,[1477]
50,510,501,[1883]
50,512,475,[1497]
50,513,470,[1975]
50,516,483,[1479]
50,517,480,[1511]
50,518,491,[1504]
51,520,485,[1898]
51,521,489,[1912]
51,522,483,[1541]
51,525,485,[1730]
51,528,510,[1883]
52,530,502,[1622]
52,531,478,[1584]
52,534,470,[2060]
52,535,490,[1773]
52,536,486,[1597]
52,537,510,[1883]
53,540,502,[1662]
53,541,490,[1612]
53,544,536,[1604]
53,546,477,[1646]
53,548,486,[1683]
53,549,513,[1975]
54,552,513,[1975]
54,554,491,[1651]
54,555,549,[1975]
54,556,546,[1646]
54,557,512,[1745]
54,558,517,[1646]
55,561,502,[1712]
55,563,558,[1734]
55,564,530,[1719]
55,565,556,[1686]
55,566,530,[1975]
55,568,518,[1679]
55,569,521,[1912]
56,570,558,[1725]
56,575,541,[1730]
56,576,546,[1782]
56,577,558,[1712]
57,580,546,[1743]
57,583,549,[1745]
57,584,568,[1745]
57,585,556,[1769]
57,586,522,[1757]
57,587,530,[1886]
57,588,540,[2090]
57,589,513,[1975]
58,590,557,[1803]
58,591,585,[1798]
58,592,548,[1839]
58,593,537,[1883]
58,594,589,[1975]
58,595,548,[1839]
58,596,556,[1912]
58,597,563,[1824]
58,598,565,[1834]
58,599,556,[1788]
59,600,546,[1855]
59,601,593,[1883]
59,602,548,[1839]
59,603,544,[1839]
59,604,565,[1851]
59,605,589,[1975]
59,606,588,[2090]
60,613,599,[2296]
60,614,606,[2090]
60,615,576,[1943]
60,617,590,[1977]
60,618,594,[1975]
60,619,563,[2358]
61,620,594,[1975]
61,622,599,[1986]
61,623,576,[1977]
61,624,565,[1958]
61,627,586,[1975]
61,628,564,[2035]
61,629,589,[1991]
62,630,591,[2303]
62,631,585,[2083]
62,632,613,[2105]
62,633,597,[2113]
62,635,592,[2142]
62,636,584,[2167]
62,637,622,[2035]
62,638,596,[2187]
63,641,591,[2075]
63,642,622,[2075]
63,643,617,[2429]
63,644,590,[2194]
63,646,602,[2472]
63,649,615,[2076]
64,651,599,[2096]
64,652,601,[2108]
64,654,633,[2113]
64,655,604,[2113]
64,658,649,[2118]
65,660,619,[2358]
65,662,629,[2137]
65,664,632,[2161]
65,665,636,[2167]
65,666,649,[2556]
65,667,630,[2303]
65,669,613,[2296]
66,670,658,[2391]
66,672,624,[2153]
66,674,613,[2296]
66,675,662,[2161]
66,676,662,[2215]
66,678,633,[2225]
66,679,667,[2303]
67,681,651,[2525]
67,683,660,[2358]
67,684,623,[2243]
67,685,662,[2677]
67,686,637,[2277]
67,687,636,[2639]
67,688,635,[2448]
67,689,667,[2303]
68,690,670,[2427]
68,693,679,[2303]
68,694,649,[2303]
68,695,675,[2427]
68,696,655,[2303]
68,697,689,[2303]
68,699,646,[2367]
69,700,666,[2556]
69,701,674,[2296]
69,702,652,[2326]
69,703,675,[2473]
69,705,694,[2303]
69,707,699,[2359]
69,708,672,[2287]
70,710,676,[2322]
70,711,708,[2322]
70,713,652,[2348]
70,714,684,[2391]
70,716,664,[2375]
70,717,675,[2427]
70,719,654,[2362]
71,722,696,[2380]
71,724,694,[2390]
71,725,694,[2390]
71,727,695,[2427]
71,728,666,[2556]
72,730,722,[2414]
72,731,674,[2416]
72,732,702,[2408]
72,734,699,[2411]
72,735,699,[2614]
72,737,685,[2582]
72,738,697,[2453]
72,739,696,[2605]
73,741,732,[2419]
73,745,717,[2427]
73,746,710,[2428]
73,749,694,[2867]
74,750,717,[2744]
74,751,700,[2521]
74,752,749,[2867]
74,753,746,[2496]
74,755,724,[2471]
75,760,727,[2672]
75,761,730,[2496]
75,762,716,[2581]
75,763,710,[2496]
75,764,702,[2534]
75,765,732,[2534]
75,766,699,[2626]
75,767,716,[2705]
75,768,749,[2867]
75,769,751,[2841]
76,770,731,[2626]
76,771,716,[2581]
76,772,717,[2535]
76,773,716,[3048]
76,774,755,[2518]
76,776,762,[2581]
76,777,765,[2521]
76,778,708,[2762]
77,782,760,[2884]
77,783,722,[2581]
77,784,761,[2683]
77,787,771,[2608]
77,788,765,[2598]
77,789,760,[2806]
78,790,749,[2704]
78,792,770,[3025]
78,793,753,[2819]
78,794,762,[2608]
78,797,737,[2605]
78,798,734,[2605]
79,800,798,[2618]
79,801,763,[2676]
79,802,750,[2941]
79,805,778,[2833]
79,807,753,[2618]
79,809,784,[2618]
80,811,805,[2833]
80,813,772,[2683]
80,814,807,[3215]
80,815,772,[2788]
80,816,782,[2884]
80,817,760,[2672]
80,819,763,[2672]
81,821,789,[2806]
81,823,778,[3095]
81,824,794,[2691]
81,825,802,[2704]
81,827,801,[3102]
81,828,816,[2693]
82,830,823,[3095]
82,831,797,[2815]
82,832,814,[3266]
82,834,774,[2825]
82,836,825,[2957]
82,837,794,[3156]
82,838,800,[2786]
82,839,783,[2741]
83,840,783,[2805]
83,841,817,[2971]
83,842,788,[2805]
83,844,807,[2766]
83,845,811,[2833]
83,846,828,[3275]
83,847,801,[2788]
83,848,794,[3156]
83,849,834,[2825]
84,852,815,[2788]
84,854,814,[3215]
84,855,842,[2805]
84,856,836,[2957]
84,858,797,[2784]
85,860,858,[2819]
85,863,855,[2958]
85,864,805,[2833]
85,865,855,[2884]
85,866,831,[2821]
85,869,832,[2827]
86,871,846,[3275]
86,872,858,[2845]
86,873,863,[2884]
86,874,863,[2958]
86,875,816,[3208]
86,876,848,[2945]
